Component,Origin,License,Copyright
gson,com.google.code.gson,Apache-2.0,Copyright 2008-2011 Google Inc.
connect-api,com.apache.kafka,Apache-2.0,Copyright 2020 The Apache Software Foundation.
connect-json,com.apache.kafka,Apache-2.0,Copyright 2020 The Apache Software Foundation.
slf4j-api,org.slf4j,MIT,Copyright (c) 2004-2017 QOS.ch
log4j-core,org.apache.logging.log4j,Apache-2.0,Copyright 2010 The Apache Software Foundation
log4j-slf4j-impl,org.apache.logging.log4j,Apache-2.0,Copyright 2010 The Apache Software Foundation
easymock,org.easymock,Apache-2.0,
jetty-server,org.eclipse.jetty,EPL-2.0,Copyright (c) 1995-2020 Mort Bay Consulting Pty Ltd and others.
jetty-servlet,org.eclipse.jetty,EPL-2.0,Copyright (c) 1995-2020 Mort Bay Consulting Pty Ltd and others.
junit,junit,EPL-1.0,
maven-compiler-plugin,org.apache.maven.plugins,Apache-2.0,
maven-shade-plugin,org.apache.maven.plugins,Apache-2.0,
